3	$6.00	7	$42.00	$5.00	$37.00	0.15	$5.55	$42.55	3
5	$6.00	9	$54.00	$5.00	$49.00	0.15	$7.35	$56.35	2
6	$6.00	7	$42.00	$5.00	$37.00	0.15	$5.55	$42.55	1
7	$6.00	1	$6.00	\N	$6.00	0.15	$0.90	$6.90	2
8	$6.00	9	$54.00	$5.00	$49.00	0.15	$7.35	$56.35	1
9	$6.00	2	$12.00	\N	$12.00	0.15	$1.80	$13.80	1
10	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	2
11	$6.00	9	$54.00	$5.00	$49.00	0.15	$7.35	$56.35	1
12	$6.00	6	$36.00	$5.00	$31.00	0.15	$4.65	$35.65	3
13	$6.00	6	$36.00	$5.00	$31.00	0.15	$4.65	$35.65	1
14	$6.00	6	$36.00	$5.00	$31.00	0.15	$4.65	$35.65	2
15	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	3
16	$6.00	2	$12.00	\N	$12.00	0.15	$1.80	$13.80	2
17	$6.00	2	$12.00	\N	$12.00	0.15	$1.80	$13.80	1
18	$6.00	9	$54.00	$5.00	$49.00	0.15	$7.35	$56.35	1
19	$6.00	6	$36.00	$5.00	$31.00	0.15	$4.65	$35.65	2
20	$6.00	7	$42.00	$5.00	$37.00	0.15	$5.55	$42.55	1
21	$6.00	4	$24.00	\N	$24.00	0.15	$3.60	$27.60	2
22	$6.00	8	$48.00	$5.00	$43.00	0.15	$6.45	$49.45	3
23	$6.00	1	$6.00	\N	$6.00	0.15	$0.90	$6.90	3
24	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	1
25	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	1
26	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	3
27	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	1
28	$6.00	1	$6.00	\N	$6.00	0.15	$0.90	$6.90	3
29	$6.00	6	$36.00	$5.00	$31.00	0.15	$4.65	$35.65	3
30	$6.00	9	$54.00	$5.00	$49.00	0.15	$7.35	$56.35	3
31	$6.00	8	$48.00	$5.00	$43.00	0.15	$6.45	$49.45	2
32	$6.00	7	$42.00	$5.00	$37.00	0.15	$5.55	$42.55	3
33	$6.00	2	$12.00	\N	$12.00	0.15	$1.80	$13.80	2
34	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	2
35	$6.00	7	$42.00	$5.00	$37.00	0.15	$5.55	$42.55	3
36	$6.00	1	$6.00	\N	$6.00	0.15	$0.90	$6.90	3
37	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	3
38	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	2
39	$6.00	1	$6.00	\N	$6.00	0.15	$0.90	$6.90	2
40	$6.00	2	$12.00	\N	$12.00	0.15	$1.80	$13.80	2
41	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	2
42	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	2
43	$6.00	9	$54.00	$5.00	$49.00	0.15	$7.35	$56.35	1
44	$6.00	1	$6.00	\N	$6.00	0.15	$0.90	$6.90	3
45	$6.00	6	$36.00	$5.00	$31.00	0.15	$4.65	$35.65	2
46	$6.00	9	$54.00	$5.00	$49.00	0.15	$7.35	$56.35	3
47	$6.00	4	$24.00	\N	$24.00	0.15	$3.60	$27.60	1
48	$6.00	8	$48.00	$5.00	$43.00	0.15	$6.45	$49.45	1
49	$6.00	5	$30.00	$5.00	$25.00	0.15	$3.75	$28.75	1
50	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	1
51	$6.00	8	$48.00	$5.00	$43.00	0.15	$6.45	$49.45	2
52	$6.00	2	$12.00	\N	$12.00	0.15	$1.80	$13.80	3
53	$6.00	7	$42.00	$5.00	$37.00	0.15	$5.55	$42.55	3
54	$6.00	7	$42.00	$5.00	$37.00	0.15	$5.55	$42.55	3
55	$6.00	2	$12.00	\N	$12.00	0.15	$1.80	$13.80	1
56	$6.00	5	$30.00	$5.00	$25.00	0.15	$3.75	$28.75	1
57	$6.00	7	$42.00	$5.00	$37.00	0.15	$5.55	$42.55	3
58	$6.00	3	$18.00	\N	$18.00	0.15	$2.70	$20.70	2
59	$6.00	7	$42.00	$5.00	$37.00	0.15	$5.55	$42.55	1
60	$6.00	7	$42.00	$5.00	$37.00	0.15	$5.55	$42.55	2
61	$6.00	1	$6.00	\N	$6.00	0.15	$0.90	$6.90	3
