1	1	1	7	200	\N	200
2	1	1	7	200	\N	200
3	1	1	9	100	\N	200
4	1	1	3	130	\N	200
5	1	1	2	100	\N	200
7	1	1	2	50	1	200
8	2	2	1	200	\N	210
9	2	2	2	200	\N	210
10	2	2	12	150	\N	210
11	2	2	11	100	2	210
12	2	3	4	200	\N	210
13	2	3	5	200	\N	210
14	2	3	6	150	\N	210
15	2	3	8	150	\N	210
16	2	3	10	100	3	210
17	2	4	9	100	\N	210
18	2	4	11	150	\N	210
19	2	4	3	100	\N	210
20	2	4	12	100	\N	210
21	2	4	4	100	4	210
37	3	5	4	200	\N	215
38	3	5	5	200	\N	215
39	3	5	6	150	\N	215
40	3	5	8	150	\N	215
41	3	5	10	100	5	215
42	4	6	9	100	\N	217
43	4	6	11	150	\N	217
44	4	6	3	100	\N	217
45	4	6	12	100	\N	217
46	4	6	1	100	6	217
47	4	7	2	100	\N	217
48	4	7	3	100	\N	217
49	4	7	4	100	\N	217
50	4	7	5	100	\N	217
51	4	7	6	100	7	217
67	9	11	7	200	\N	240
68	9	11	8	200	\N	240
69	9	11	9	150	\N	240
70	9	11	10	150	\N	240
71	9	11	11	100	11	240
72	10	12	12	100	\N	245
73	10	12	1	150	\N	245
74	10	12	2	100	\N	245
75	10	12	3	100	\N	245
76	10	12	4	100	12	245
52	5	8	7	200	\N	221
53	5	8	8	200	\N	221
54	5	8	9	150	\N	221
55	5	8	10	150	\N	221
56	5	8	11	100	8	221
57	6	9	12	100	\N	228
58	6	9	1	150	\N	228
59	6	9	2	100	\N	228
60	6	9	3	100	\N	228
61	6	9	4	100	9	228
62	8	10	5	100	\N	231
63	8	10	6	100	\N	231
64	8	10	7	100	\N	231
65	8	10	8	100	\N	231
66	8	10	9	100	10	231
\.


