1	1	1	2022
2	2	1	2022
3	3	1	2022
4	4	1	2022
5	5	1	2022
6	6	1	2022
7	7	1	2022
8	8	1	2022
9	9	1	2022
10	10	1	2022
11	11	1	2022
12	12	1	2022
13	13	1	2022
14	14	1	2022
15	15	1	2022
16	16	1	2022
17	17	1	2022
18	18	1	2022
19	19	1	2022
20	20	1	2022
21	21	1	2022
22	22	1	2022
23	23	1	2022
24	24	1	2022
25	25	1	2022
26	26	1	2022
27	27	1	2022
28	28	1	2022
29	29	1	2022
30	30	1	2022
31	31	1	2022
32	1	2	2022
33	2	2	2022
34	3	2	2022
35	4	2	2022
36	5	2	2022
37	6	2	2022
38	7	2	2022
39	8	2	2022
40	9	2	2022
41	10	2	2022
42	11	2	2022
43	12	2	2022
44	13	2	2022
45	14	2	2022
46	15	2	2022
47	16	2	2022
48	17	2	2022
49	18	2	2022
50	19	2	2022
51	20	2	2022
52	21	2	2022
53	22	2	2022
54	23	2	2022
55	24	2	2022
56	25	2	2022
57	26	2	2022
58	27	2	2022
59	28	2	2022
60	1	3	2022
61	2	3	2022
62	3	3	2022
63	4	3	2022
64	5	3	2022
65	6	3	2022
66	7	3	2022
67	8	3	2022
68	9	3	2022
69	10	3	2022
70	11	3	2022
71	12	3	2022
72	13	3	2022
73	14	3	2022
74	15	3	2022
75	16	3	2022
76	17	3	2022
77	18	3	2022
78	19	3	2022
79	20	3	2022
80	21	3	2022
81	22	3	2022
82	23	3	2022
83	24	3	2022
84	25	3	2022
85	26	3	2022
86	27	3	2022
87	28	3	2022
88	29	3	2022
89	30	3	2022
90	31	3	2022
91	1	4	2022
92	2	4	2022
93	3	4	2022
94	4	4	2022
95	5	4	2022
96	6	4	2022
97	7	4	2022
98	8	4	2022
99	9	4	2022
100	10	4	2022
101	11	4	2022
102	12	4	2022
103	13	4	2022
104	14	4	2022
105	15	4	2022
106	16	4	2022
107	17	4	2022
108	18	4	2022
109	19	4	2022
110	20	4	2022
111	21	4	2022
112	22	4	2022
113	23	4	2022
114	24	4	2022
115	25	4	2022
116	26	4	2022
117	27	4	2022
118	28	4	2022
119	29	4	2022
120	30	4	2022
121	1	5	2022
122	2	5	2022
123	3	5	2022
124	4	5	2022
125	5	5	2022
126	6	5	2022
127	7	5	2022
128	8	5	2022
129	9	5	2022
130	10	5	2022
131	11	5	2022
132	12	5	2022
133	13	5	2022
134	14	5	2022
135	15	5	2022
136	16	5	2022
137	17	5	2022
138	18	5	2022
139	19	5	2022
140	20	5	2022
141	21	5	2022
142	22	5	2022
143	23	5	2022
144	24	5	2022
145	25	5	2022
146	26	5	2022
147	27	5	2022
148	28	5	2022
149	29	5	2022
150	30	5	2022
151	31	5	2022
152	1	6	2022
153	2	6	2022
154	3	6	2022
155	4	6	2022
156	5	6	2022
157	6	6	2022
158	7	6	2022
159	8	6	2022
160	9	6	2022
161	10	6	2022
162	11	6	2022
163	12	6	2022
164	13	6	2022
165	14	6	2022
166	15	6	2022
167	16	6	2022
168	17	6	2022
169	18	6	2022
170	19	6	2022
171	20	6	2022
172	21	6	2022
173	22	6	2022
174	23	6	2022
175	24	6	2022
176	25	6	2022
177	26	6	2022
178	27	6	2022
179	28	6	2022
180	29	6	2022
181	30	6	2022
